	R [arcmin]	v [km/s]
       9.8999996       1034.0669
       20.129999       1013.8658
       12.640000       1055.4016
       12.160000       776.81238
       9.9799995       1606.6024
       11.490000       774.13261
       9.7200003       1279.8810
       9.3000002       1215.9796
       9.0100002       1204.6423
       9.7600002       1245.5597
       12.230000       921.20882
       8.6899996       853.59708
       11.590000       1154.1396
       8.8999996       1158.2623
       8.2399998       1129.4036
       9.2700005       1192.0682
       7.6300001       1159.2929
       13.800000       1065.8115
       8.3199997       1184.3382
       7.1900001       1159.2929
       7.2600002       438.85661
       7.4800000       1269.5743
       11.250000       1059.2152
       9.6099997       923.06401
       6.9099998       1077.8702
       14.970000       1111.1608
       7.0999999       1069.6249
       6.6700001       1095.2885
       6.0000000       498.63530
       5.9200001       948.00616
       6.7700000       1126.3116
       5.8000002       1035.6129
       5.4099998       1194.8509
       5.4299998       1481.8917
       5.0300002       1516.9344
       5.1900001       1030.4595
       14.290000       992.01566
       10.710000       1143.6268
       5.5599999       1164.6523
       4.6700001       1186.0903
       5.5999999       1309.7703
       4.3899999       798.55943
       14.530000       1115.4896
       4.8299999       983.97647
       4.2500000       292.50188
       4.2800002       1013.9689
       4.5000000       1521.0571
       4.3800001       804.74344
       4.0100002       892.35014
       4.1500001       1437.7791
       4.0900002       1136.9275
       3.9200001       1271.6356
       4.0999999       1492.1984
       4.8099999       1255.2480
       5.0900002       1142.8022
       4.1900001       1231.4396
       5.8699999       922.23949
       3.8099999       1240.7156
       6.6100001       1072.9230
       3.7600000       1085.0849
       3.8099999       1422.2161
       3.5300000       1180.8339
       4.3000002       819.17277
       4.0999999       912.44815
       3.7700000       1147.9556
       5.2300000       1106.7289
       3.2900000       1547.8544
       12.250000       1187.1209
       15.670000       1366.7663
       5.4600000       960.99254
       3.1099999       1454.8883
       3.7400000       1291.2183
       2.8900001       1212.8876
       17.559999       1148.8832
       3.1900001       732.59674
       2.9300001       1214.9489
       3.8199999       1251.6407
       3.2800000       1243.8076
       2.8199999       768.15475
       8.4099998       1108.4810
       2.8000000       1454.0637
       5.4699998       1162.3849
       7.4200001       834.63278
       3.2600000       1164.4463
       2.7200000       1481.7887
       2.5999999       1274.1093
       2.7700000       1186.1933
       3.2200000       1207.5282
       2.8199999       1392.2237
       4.0000000       1340.6903
       3.0999999       1286.0650
       6.4200001       964.49684
       2.3499999       1045.9195
       4.6999998       945.53254
       7.6900001       1112.9129
       8.9300003       1074.5721
       2.5000000       1175.7836
       2.2900000       901.62614
       2.0200000       1364.4987
       3.5899999       770.73142
       2.2800000       1203.4055
       2.0899999       1145.8942
       3.3099999       1528.2717
       3.7200000       1147.4402
       2.7500000       865.55279
       1.7900000       809.89677
       2.5799999       1364.8080
       8.8100004       608.91668
       5.1500001       1189.1823
       5.1199999       606.85535
       11.190000       1080.3438
       6.0400000       1199.4889
       2.3499999       892.35014
       3.7400000       1124.2502
       3.1700001       1153.6243
       8.2799997       1752.9572
       3.0799999       1457.1557
       5.8000002       1311.8317
       2.7500000       1073.7476
       8.1899996       1182.3799
       4.8000002       1438.6037
       6.3099999       917.08615
       3.4000001       1124.2502
       15.120000       1432.6258
       3.2000000       828.44878
       2.5000000       1268.5436
       6.9699998       1163.3125
       2.3099999       1403.5610
       2.0599999       1423.1437
       1.7600000       1054.1649
       3.5200000       902.65681
       2.7800000       1126.3116
       2.0799999       1299.4636
       5.0200000       964.49684
       6.7800002       1498.3824
       7.5500002       1133.3202
       2.5100000       1420.0517
