"","Gene.Set","L","O","S"
"1","Neutrophil degranulation(R)",3.14e-13,3.28e-09,1.11e-16
"2","Antimicrobial peptides(R)",7.69e-06,0.00114,0.00131
"3","Toll-Like Receptors Cascades(R)",1.85e-05,0.00339,0.000278
"4","Signaling by Interleukins(R)",8.91e-05,1.88e-05,8.24e-08
"5","Fructose and mannose metabolism(K)",0.000421,0.2865,0.449
"6","IL4-mediated signaling events(N)",0.000547,0.000504,0.1065
"7","Amoebiasis(K)",0.000597,0.0797,1.42e-05
"8","TNF signaling pathway(K)",0.00108,0.6767,0.000961
"9","Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds(R)",0.00112,0.01,0.5403
"10","Growth hormone receptor signaling(R)",0.0021,0.2176,0.3517
"11","IL2-mediated signaling events(N)",0.00255,0.0183,0.0751
"12","Metabolism of carbohydrates(R)",0.00312,0.4261,0.6075
"13","Insulin signaling pathway(K)",0.00358,0.4194,0.7198
"14","Hematopoietic cell lineage(K)",0.00359,0.2608,7.87e-05
"15","Validated targets of C-MYC transcriptional repression(N)",0.00371,0.1258,0.2945
"16","IL12-mediated signaling events(N)",0.00393,0.1292,0.00527
"17","toll-like receptor pathway(B)",0.0047,0.2792,0.00286
"18","Inflammatory bowel disease (IBD)(K)",0.00491,0.00058,0.031
"19","EPO signaling pathway(N)",0.00511,0.2865,0.449
"20","Toll-like receptor signaling pathway(K)",0.00519,0.0238,2.75e-05
"21","IL1-mediated signaling events(N)",0.00555,0.2938,0.0242
"22","signal transduction through il1r(B)",0.00601,0.301,0.0261
"23","Cytokine-cytokine receptor interaction(K)",0.00666,0.000408,7.78e-06
"24","IL23-mediated signaling events(N)",0.00699,0.3152,0.03
"25","GMCSF-mediated signaling events(N)",0.00699,0.0555,0.03
"26","RET signaling(R)",0.00876,0.3961,0.5693
"27","Osteoclast differentiation(K)",0.0126,0.3909,6.19e-12
"28","Syndecan-1-mediated signaling events(N)",0.0138,0.1595,0.2642
"29","Angiopoietin receptor Tie2-mediated signaling(N)",0.0157,0.0931,0.2281
"30","Mineral absorption(K)",0.0174,0.0166,0.2414
